,booktype,Title,Author
4280,言情,你是我的小虛榮,萱草妖花
3501,言情,女扮男裝後我位極人臣了,甜酒涼糕
4281,言情,小春日和,露娜貓
3500,言情,回到90年代做棋王,雁過寒潭
4286,言情,寵妾養成記,抹茶曲奇
3499,言情,一篇換攻文,風雪添酒
4290,言情,餘生給你，糖也給你,三千大夢敘平生
4293,言情,漁港春夜,棺材裡的笑聲
4294,言情,我一見你就微笑,積雨
4255,言情,吻你比糖甜,溫潤生木
4254,言情,小可愛你過來,奚堯
3517,言情,和黑紅親弟上慢綜爆紅,星火流金
4253,言情,我不同意這門親事,籽瀲
4213,言情,甜棗兒,小醋
3516,言情,本花妖竟成了影帝的貓,橙子咚咚
4216,言情,撲倒不良未婚妻(限),安靖
4217,言情,快穿撩人：失足boss拯救計畫,硯落白
4219,言情,他的小祖宗甜又野,戰西野
4221,言情,以後少吃魚,鹿靈
4222,言情,他和她的貓,唧唧的貓
4223,言情,你也有今天,葉斐然
4225,言情,最最寵(限),朱輕
4227,言情,第一校花,剪笛
4229,言情,他總是喜歡我,蔣牧童
4230,言情,深情露在目光中,淌挽
3515,言情,第一製卡師,肥皂有點滑
4233,言情,名捕夫人,清閒丫頭
4234,言情,放學我等你喔,林雪靈
4235,言情,鹿門歌,凝隴
4237,言情,退退退退下！,布丁琉璃
4241,言情,一寸相思,紫微流年
4242,言情,一不小心撩到你,聞笙
4243,言情,大王饒命,會說話的肘子
3513,言情,老公除了錢什麼都不能給我,曉魚乾
4247,言情,至尊龍婿/葉辰蕭初然,葉公子
4249,言情,天才基本法,長洱
4250,言情,寵妃的演技大賞,發達的淚腺
4252,言情,長相思（全三冊）,桐華
3455,言情,淑妃今天也隻想鹹魚,寒花一夢
4484,言情,熾野,簡圖
4485,言情,待你到我懷裡,冰糖桔
4703,言情,終身最愛,玄默
4685,言情,誰說我，不愛你,北傾
4686,言情,棄妃，你又被翻牌了！,玉樓人醉
4688,言情,離婚這件小事／不期而遇的溫暖,板栗子
4690,言情,甜心嫁一送一：總裁，請簽收！,水卿卿
4691,言情,含嬌,眠風枕月
4693,言情,超級女婿/豪婿,絕人
4694,言情,小尾巴很甜,顏溫
4696,言情,偏偏嬌縱,兜兜麽
3381,言情,港娛的人生模擬器,曾經擁有的方向感
4699,言情,許你甜糖時光,張不一
4700,言情,只愛你的偏執狂,哀藍
4702,言情,盡歡顏,尋找失落的愛情
4705,言情,他似星辰大海,畫盞眠
4487,言情,春光無限好,巨龍在咆嘯
4707,言情,影帝婚後日常,時槐序
4708,言情,農家小福女/嬌女種田，掌家娘子俏夫郎,郁雨竹
4710,言情,天作不合,許乘月
4711,言情,盛寵妻寶,抹茶曲奇
4714,言情,不良嬌妻(限),七喜
4715,言情,重生之嫡女無雙,白色蝴蝶
4716,言情,嫁給暗戀我的路人,伊人睽睽
3371,言情,四合院：最後的贏家,曹丞相大人
3367,言情,拒絕九九六，全世界資本都破防了,捉五魁
3361,言情,人到中年：娛樂圈的悠閑生活,森外
4719,言情,難消帝王恩,九月流火
4720,言情,陛下有個黑月光,延琦
4684,言情,你好，周先生,夜蔓
4683,言情,他是我的不接受反駁,醬子貝
4682,言情,撩入非非,蘇錢錢
4681,言情,老婆今天又變美了,藍妯
4646,言情,他的小心肝,佳糖糖
4647,言情,全球高武,老鷹吃小雞
4648,言情,我愛的那個她,我不想坑
4649,言情,庶女攻略（錦心似玉）,吱吱
3404,言情,漁女趕海發家記,綠豆紅湯
4650,言情,生活系遊戲,噸噸噸噸噸
3401,言情,開發大西北：我在戈壁建了一座城,八月黃
3400,言情,農民：開局種異火，售賣惡魔果實,桃樹上的搖鈴
4654,言情,影后厨藝頂呱呱,二七十
3395,言情,安利你單推偶像，沒讓你推了偶像,蟬不知冰
4656,言情,釀誘冷商王 (限),余宓
4662,言情,可愛過敏症,井酒
4663,言情,監製的遲鈍寶貝(限),古潤
4664,言情,洛九針,希行
3392,言情,遊戲紀元，我打造華夏神級副本,柒日浮生
3391,言情,香江新豪門,任豬飛
4668,言情,全職藝術家,我最白
4669,言情,嬌妻爲后,寒木枝
3390,言情,高武：無敵從基礎箭法開始,青面修羅
4672,言情,造作時光 (花琉璃軼聞),月下蝶影
4673,言情,春日宴,白鷺成雙
4674,言情,對的時間對的人,顧西爵
4675,言情,萬族之劫,老鷹吃小雞
3385,言情,七零之冷情知青的佛系妻,嫋嫋霧月
4680,言情,他與月光為鄰,丁墨
3357,言情,三年十班,彼得
3351,言情,重生之我絕不當舔狗,貓戲狗
3624,言情,穿成龍傲天的姑姑後,明小十
4774,言情,他的小皇后,紛紛和光
4778,言情,你肩膀借我,鹿靈
4781,言情,與宿敵成親了,布丁琉璃
4782,言情,小太太,千面怪
4783,言情,入骨嬌寵,煙雲緋
3311,言情,娛樂：從主持人大賽製霸內娛,孺瑤子
4787,言情,我有七個大佬哥哥,垂耳兔
4788,言情,東風惡,一度君華
4789,言情,八零年代之媳婦是只狐狸精,顏素素
4790,言情,鐘情,三千弱水
3308,言情,重生低調修仙,豆腐腦豆皮
4791,言情,身世曝光後，我聯姻豪門了,木日夕
3306,言情,年代文男主的親妹妹,天真藍
4793,言情,我七個姐姐絕世無雙,橙年歲月
3301,言情,娛樂：明星大逃亡,月亮有個坑
4796,言情,替嫁後懷了男主的孩子,靜沐暖陽
4797,言情,我家真的有金礦,圖樣先森
